netID,score
katelynr,0.4640625
katelynr,0.3625
katelynr,0.246875
katelynr,0.38125
katelynr,0.40625
katelynr,0.346875
katelynr,0.459375
katelynr,0.584375
katelynr,0.4359375
holist,0.5515625
holist,0.4359375
holist,0.0859375
holist,0.2671875
holist,0.384375
holist,0.5484375
holist,0.175
holist,0.2734375
holist,0.265625
holist,0.3640625
random,0.615625
random,0.4828125
random,0.3484375
random,0.446875
random,0.621875
random,0.36875
random,0.4859375
random,0.428125
random,0.4765625
random,0.475
synergist,0.6
synergist,0.6078125
synergist,0.503125
synergist,0.4125
synergist,0.553125
synergist,0.478125
synergist,0.4796875
synergist,0.609375
synergist,0.5078125
synergist,0.3984375
usnews,0.1875
usnews,0.2875
usnews,0.1984375
usnews,0.1890625
usnews,0.2640625
usnews,0.0984375
usnews,0.2
usnews,0.1953125
usnews,0.1875
usnews,0.5375
usnews,0.1703125
usnews,0.3703125
usnews,0.0953125
usnews,0.4859375
usnews,0.1828125
usnews,0.28125
usnews,0.2796875
usnews,0.578125
usnews,0.2890625
usnews,0.3796875
usnews,0.1953125
usnews,0.184375
usnews,0.2734375
usnews,0.0
usnews,0.0953125
